status,xigua,R,shumei,baiqishi,x1,x30,x85,x54,x83
1,419,0,REVIEW,other,5,4,0,-1,0
0,435,0,PASS,other,10,10,5,230,2
0,456,0,REVIEW,other,7,7,3,-1,3
0,347,0,REVIEW,high,15,16,5,111,5
0,332,0,REVIEW,other,19,19,8,8,6
1,590,0,REJECT,other,2,1,0,92,0
1,341,1,REVIEW,high,12,12,3,245,3
0,553,0,REVIEW,other,3,3,1,-1,0
1,348,0,PASS,other,15,14,4,-1,1
1,303,0,REVIEW,medium,3,3,1,-1,0
0,518,0,PASS,other,9,9,4,-1,0
0,397,0,PASS,medium,14,14,5,276,2
0,448,0,REVIEW,other,18,18,9,17,6
1,625,0,REVIEW,other,3,3,2,62,0
0,559,0,REVIEW,high,13,14,5,115,4
0,325,0,REJECT,high,5,5,1,144,1
1,666,0,REVIEW,other,11,11,6,81,1
1,496,1,REVIEW,high,2,2,0,144,0
0,544,0,REVIEW,other,18,17,4,13,2
0,608,0,REJECT,other,12,12,3,104,3
0,649,0,REVIEW,other,16,16,9,15,8
1,511,0,REVIEW,other,5,5,4,-1,2
0,559,0,REVIEW,other,9,9,1,-1,1
0,550,0,REVIEW,other,15,15,8,6,6
1,346,0,REVIEW,other,4,4,0,-1,0
1,327,0,REJECT,medium,4,4,1,90,0
0,532,0,PASS,other,26,26,10,6,5
1,340,0,REVIEW,high,9,8,5,-1,0
0,374,0,REVIEW,other,8,3,5,-1,3
0,454,0,REVIEW,other,12,12,6,13,6
0,584,0,PASS,other,27,26,10,8,7
1,343,0,PASS,other,8,8,3,-1,1
1,303,0,PASS,other,8,8,3,58,2
1,507,0,REVIEW,other,2,2,1,109,0
0,676,0,PASS,other,30,30,10,10,9
0,414,0,REVIEW,other,20,20,9,17,3
0,464,0,REVIEW,other,3,3,1,70,1
1,343,0,REVIEW,other,6,6,1,129,0
0,455,0,REVIEW,medium,3,3,3,225,2
0,417,0,REVIEW,other,18,18,11,43,7
1,434,0,REVIEW,other,5,5,2,118,1
1,431,0,REVIEW,medium,12,12,5,18,5
0,426,0,REJECT,other,15,16,7,36,2
1,335,1,REVIEW,other,4,4,4,222,0
0,476,0,REVIEW,other,4,4,0,267,0
0,357,0,PASS,other,31,31,14,6,12
1,349,0,REJECT,other,15,15,7,35,0
0,631,0,REVIEW,other,3,3,0,-1,0
0,559,0,PASS,other,17,16,8,338,6
1,471,0,REVIEW,other,11,10,2,57,1
1,334,0,REVIEW,other,3,3,1,-1,0
0,378,0,PASS,other,1,1,1,-1,0
0,476,0,PASS,other,8,8,5,101,5
1,501,0,REVIEW,other,7,7,2,72,1
1,329,1,REVIEW,other,3,3,1,-1,0
1,330,0,REVIEW,high,3,3,0,71,0
0,325,0,REVIEW,other,6,6,1,104,1
0,372,0,REVIEW,high,4,4,1,121,1
1,544,1,REVIEW,none,2,2,1,-1,0
1,386,0,REVIEW,other,4,4,0,-1,0
0,539,0,REVIEW,other,9,10,5,83,4
0,609,0,REVIEW,medium,13,13,8,228,4
0,623,0,PASS,other,2,2,1,-1,1
1,320,1,REVIEW,medium,12,12,6,165,5
0,421,0,REVIEW,other,4,4,1,55,0
1,326,1,REVIEW,other,17,17,10,43,4
1,389,0,REVIEW,other,9,9,5,200,5
